,Model_Year,Make,Model,Trim,Body_Style,Color_Interior,Color_Exterior,Engine,Displacement,Transmission,Transmission_Detail,VIN,Condition,Mileage,Days_on_Site,Private_or_Dealer,Price,Title_Clean_Filter,PriceHistory
200_724296974,2008,Aston Martin,V8 Vantage,Roadster,Convertible,,,8-Cylinder,4.3,Manual,6-Speed Manual,SCFBB04BX8GD07987,USED,"34,436",142,,64900.0,True,
200_725463100,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Lime Essence,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW2LGN04331,USED,"9,688",129,,87990.0,True,"[{'dateUpdated': '11.15.2024', 'price': '$94,990'}, {'dateUpdated': '11.26.2024', 'price': '$92,990'}, {'dateUpdated': '12.13.2024', 'price': '$92,490'}, {'dateUpdated': 'Price Today', 'price': '$87,990'}]"
200_726371881,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Red/Black,Lunar White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW8KGN02498,USED,"11,681",120,,109995.0,True,"[{'dateUpdated': 'Price Today', 'price': '$109,995'}]"
200_726431056,2021,Aston Martin,V8 Vantage,,Coupe,Chancellor Red/Ivory Leather,White Stone,8-Cylinder Turbo,4,Automatic,Automatic,SCFSMGAW3MGN05828,USED,"10,772",119,,115500.0,True,"[{'dateUpdated': '11.15.2024', 'price': '$129,500'}, {'dateUpdated': '12.11.2024', 'price': '$119,500'}, {'dateUpdated': 'Price Today', 'price': '$115,500'}]"
200_727276046,2008,Aston Martin,V8 Vantage,Coupe,Coupe,Beige,Blue,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF03B28GC08926,USED,"53,358",110,,46900.0,True,"[{'dateUpdated': '12.09.2024', 'price': '$46,900'}, {'dateUpdated': 'Price Today', 'price': '$46,900'}]"
200_728190885,2011,Aston Martin,V8 Vantage,S,Convertible,Obsidian Black,Stratus White,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBEL0BGD15118,USED,"12,630",101,,58900.0,True,"[{'dateUpdated': '12.05.2024', 'price': '$58,900'}, {'dateUpdated': 'Price Today', 'price': '$58,900'}]"
200_729640749,2021,Aston Martin,V8 Vantage,Roadster,Convertible,Black,Ceramic Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW1MGP05279,USED,"7,817",85,,139995.0,True,"[{'dateUpdated': 'Price Today', 'price': '$139,995'}]"
200_730057190,2014,Aston Martin,V8 Vantage,Roadster,Convertible,Tan,Blue,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBBK3EGD18627,USED,"13,808",80,,56500.0,True,"[{'dateUpdated': '12.03.2024', 'price': '$57,500'}, {'dateUpdated': 'Price Today', 'price': '$56,500'}]"
200_731568406,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW1KGN02472,USED,"24,300",65,,64900.0,False,
200_732399903,2022,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Q Platinum White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3NGN06916,USED,"19,675",56,,104995.0,True,
200_733890167,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Black,White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAWXKGN02051,USED,"27,333",39,,82500.0,True,
200_734936562,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Jet Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW1KGN00592,USED,"11,627",29,,93999.0,True,"[{'dateUpdated': '12.14.2024', 'price': '$93,999'}, {'dateUpdated': '12.22.2024', 'price': '$93,999'}, {'dateUpdated': 'Price Today', 'price': '$93,999'}]"
200_735027767,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Yellow Tang,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW3LGN04290,USED,"18,983",28,,90995.0,True,
200_735385936,2021,Aston Martin,V8 Vantage,Roadster,Convertible,Chestnut Tan,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW1MGP05346,USED,"10,530",24,,139995.0,True,
200_735577803,2019,Aston Martin,V8 Vantage,Coupe,Coupe,Black,White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAWXKGN00378,USED,"35,900",23,,71900.0,True,
200_735950136,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW1LGN03073,USED,"20,296",17,,89888.0,True,
200_736081004,2021,Aston Martin,V8 Vantage,Roadster,Convertible,Red,White,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW9MGP06020,USED,"29,279",15,,97440.0,True,
200_736430693,2009,Aston Martin,V8 Vantage,Roadster,Convertible,Ribbon Blue Full Leather,Glacial Blue Metallic,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFBF04C29GD11966,USED,"26,395",11,,44990.0,True,
200_736543842,2020,Aston Martin,V8 Vantage,Coupe,Coupe,,,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW2LGN04796,USED,"39,200",9,,72995.0,True,
200_736721155,2021,Aston Martin,V8 Vantage,Coupe,Coupe,Chancellor Red,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW6MGN05533,USED,"16,629",8,,104900.0,True,
225_697910253,2009,Aston Martin,V8 Vantage,Coupe,Coupe,Obsidian Black,Yellow,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFBF03C49GC12843,USED,"27,630",439,,37995.0,True,"[{'dateUpdated': '11.21.2024', 'price': '$39,595'}, {'dateUpdated': '12.17.2024', 'price': '$38,995'}, {'dateUpdated': '12.28.2024', 'price': '$38,795'}, {'dateUpdated': 'Price Today', 'price': '$37,995'}]"
225_706751551,2008,Aston Martin,V8 Vantage,Coupe,Coupe,Black,White,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF03BX8GC09113,USED,"36,000",335,,39995.0,True,
225_711184200,2008,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Black,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF03B38GC09860,USED,"31,011",286,,48000.0,True,"[{'dateUpdated': '11.22.2024', 'price': '$49,000'}, {'dateUpdated': 'Price Today', 'price': '$48,000'}]"
225_712595874,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Phantom Grey,Midnight Blue,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW9LGN04987,USED,"16,311",113,,93900.0,True,"[{'dateUpdated': '12.18.2024', 'price': '$93,900'}, {'dateUpdated': 'Price Today', 'price': '$93,900'}]"
225_717299286,2009,Aston Martin,V8 Vantage,Roadster,Convertible,Obsidian Black Leather Seat Tr,Onyx Black,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFBF04C29GD12714,USED,"64,557",219,,26995.0,True,
225_717363184,2008,Aston Martin,V8 Vantage,Roadster,Convertible,,,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B38GD08807,USED,"51,786",219,,33999.0,True,"[{'dateUpdated': '11.14.2024', 'price': '$34,999'}, {'dateUpdated': '12.08.2024', 'price': '$38,499'}, {'dateUpdated': 'Price Today', 'price': '$33,999'}]"
225_722343748,2021,Aston Martin,V8 Vantage,Roadster,Convertible,Spicy Red,Magnetic Silver,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGBW8MGP05263,USED,"9,300",145,,130000.0,True,"[{'dateUpdated': 'Price Today', 'price': '$130,000'}]"
225_723624068,2011,Aston Martin,V8 Vantage,N420,Coupe,Black,Gray,8-Cylinder,,Automatic,6-Speed Shiftable Automatic,SCFEFBAK3BGC15483,USED,"50,622",149,,48975.0,True,
225_724520039,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Black,Yellow,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B38GD09990,USED,"28,300",138,,44888.0,True,"[{'dateUpdated': '12.29.2024', 'price': '$39,888'}, {'dateUpdated': '12.30.2024', 'price': '$44,888'}, {'dateUpdated': '12.30.2024', 'price': '$39,888'}, {'dateUpdated': 'Price Today', 'price': '$44,888'}]"
225_725008725,2020,Aston Martin,V8 Vantage,Coupe,Coupe,Black,Black,8-Cylinder Turbo,4,Automatic,8-Speed Automatic,SCFSMGAW0LGN03579,USED,"14,839",135,,88000.0,True,"[{'dateUpdated': '11.30.2024', 'price': '$91,000'}, {'dateUpdated': 'Price Today', 'price': '$88,000'}]"
225_725857104,2016,Aston Martin,V8 Vantage,GTS,Coupe,,,8-Cylinder,4.7,Automatic,7-Speed Automatic,SCFEKBDLXGGC20722,USED,"11,493",125,,79500.0,True,
225_726983605,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Black,Blue,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B18GD08837,USED,"30,853",113,,38500.0,True,"[{'dateUpdated': 'Price Today', 'price': '$38,500'}]"
225_728115049,2007,Aston Martin,V8 Vantage,Coupe,Coupe,,Black,8-Cylinder,4.3,Manual,6-Speed Manual,SCFBB03B27GC04806,USED,"46,327",101,,38767.0,True,"[{'dateUpdated': 'Price Today', 'price': '$38,767'}]"
225_730589183,2023,Aston Martin,V8 Vantage,,Coupe,,Yellow,8-Cylinder Turbo,4,Automatic,8-Speed Shiftable Automatic,SCFSMGAW7PGN07084,USED,"10,914",75,,145000.0,True,
225_730883048,2008,Aston Martin,V8 Vantage,Roadster,Convertible,Brown,Black,8-Cylinder,4.3,Automatic,6-Speed Automatic,SCFBF04B98GD09900,USED,"31,069",72,,36995.0,True,"[{'dateUpdated': '11.27.2024', 'price': '$38,995'}, {'dateUpdated': '12.04.2024', 'price': '$37,995'}, {'dateUpdated': '12.11.2024', 'price': '$37,495'}, {'dateUpdated': 'Price Today', 'price': '$36,995'}]"
225_731804987,2011,Aston Martin,V8 Vantage,Coupe,Coupe,Black,White,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFEFBAK7BGC14594,USED,"21,705",62,,62000.0,True,
225_732464839,2009,Aston Martin,V8 Vantage,Roadster,Convertible,Brown,Silver,8-Cylinder,4.7,Automatic,6-Speed Automatic,SCFBF04C19GD12512,USED,"28,112",55,,42995.0,True,"[{'dateUpdated': '12.02.2024', 'price': '$45,495'}, {'dateUpdated': '12.10.2024', 'price': '$44,495'}, {'dateUpdated': '12.18.2024', 'price': '$43,995'}, {'dateUpdated': 'Price Today', 'price': '$42,995'}]"
